n,n_pcr,beta_score,beta_arm,beta_interaction,or_interaction,or_ci_lo,or_ci_hi,p_interaction,p_arm,p_score,arm_name,signature,targeted_class
307,88,0.23844056458204513,1.6888296291788107,-0.5673748238754628,0.5670119929586822,0.3209710712808441,1.0016560024428727,0.05066991288996121,1.1809257074506471e-08,0.2266878720339045,Trastuzumab-based,TGFb_activity,HER2
307,88,0.3268598348593253,1.6366614875007153,-0.4128224787168794,0.6617797523916539,0.3623690330568523,1.2085813100007585,0.1791273861729087,4.938125174107843e-08,0.10027176780696404,Trastuzumab-based,CAF_proxy,HER2
307,88,0.18935299037417327,1.6803778516789105,0.3606201522668656,1.4342185727241739,0.8263469725813394,2.4892484423599583,0.19986929567483613,2.1968081405103064e-08,0.3263057130008796,Trastuzumab-based,B_cell,HER2
307,88,0.2421593873556439,1.709347848757235,-0.35614464273171403,0.7003713092890933,0.39106284306112776,1.2543251796454737,0.23098027502708585,1.7110191879747488e-08,0.18172313348055658,Trastuzumab-based,IL6_STAT3_axis,HER2
307,88,0.5817446156476737,1.8233772728744884,-0.3448753644160691,0.7083086284260924,0.3882564293643217,1.2921900969528552,0.2608868267847396,7.2919034143699345e-09,0.01690596701710118,Trastuzumab-based,HLA_II_score,HER2
307,88,-0.2288808535049546,1.654006552493,0.26146733476503264,1.2988345141443793,0.7403093357480756,2.278738108074779,0.36197321199442967,1.693105905757143e-08,0.2678447879710182,Trastuzumab-based,hypoxia_score,HER2
307,88,0.4917833168430501,1.8306015312018302,-0.21494498147609623,0.8065858161175709,0.4597162367177266,1.4151788142334314,0.4536471398950157,4.212990832980331e-09,0.018374653734901224,Trastuzumab-based,Dendritic,HER2
307,88,-0.1310026957565352,1.6650698309984335,0.194581776845861,1.2148028215662767,0.6942863021904483,2.1255581316086203,0.4954349878655897,1.5832065951365526e-08,0.4918527198053738,Trastuzumab-based,angiogenesis,HER2
307,88,0.49129590252446137,1.7236286868084039,-0.18871513078684482,0.8280223511763772,0.468517897009249,1.463382761734972,0.5160075394467216,1.850313961100394e-08,0.02053929596913327,Trastuzumab-based,M2_macrophage,HER2
307,88,0.4504506102261474,1.709538734709753,-0.15648035116291184,0.8551483202078645,0.4739675103593756,1.5428877160796444,0.6032702129607914,2.2159552354867352e-08,0.03186092538225754,Trastuzumab-based,immune_exclusion,HER2
307,88,0.4527163973245012,1.7248514690087118,-0.11778455131487323,0.8888875416379189,0.48876635692817255,1.6165618817238205,0.6995062970433665,1.9686556075349646e-08,0.04540972748101595,Trastuzumab-based,IFN_gamma,HER2
307,88,0.4283780295418594,1.748564572362579,-0.10830002661125057,0.8973583246608811,0.5021784501622597,1.6035175595010036,0.7146205650767766,1.1475589245595682e-08,0.054040145175173644,Trastuzumab-based,TLS_signature,HER2
307,88,0.1986316242048839,1.6672079057131917,-0.095363982657629,0.9090419987218576,0.5226154545422249,1.581195787950936,0.7356196374028111,1.7992448010907118e-08,0.31032452307673797,Trastuzumab-based,APM_score,HER2
307,88,0.2061846501148609,1.6898075890525928,-0.08083939992815384,0.9223418077111333,0.5245470199239062,1.6218077273134652,0.7789124844116309,1.4232215419694221e-08,0.3095699420257805,Trastuzumab-based,HLA_I_score,HER2
307,88,0.39120586855161643,1.7353659805472583,-0.07702437394558004,0.9258672862926188,0.523345631417871,1.63798105948532,0.79129916795538,1.2118158825118147e-08,0.06098831094284056,Trastuzumab-based,M2_polarization,HER2
307,88,0.43013985072644745,1.7755246300473562,-0.06011698661937467,0.9416543661793995,0.5305163204367256,1.6714150181370044,0.8372988848020916,8.802714611558216e-09,0.040841103641407035,Trastuzumab-based,cytolytic_score,HER2
307,88,0.5342113604808277,1.7281433173892915,-0.05580760623420551,0.9457210692263149,0.5312389755804402,1.6835894614120532,0.8495793656176455,2.0896548453727753e-08,0.010250527382617704,Trastuzumab-based,Treg,HER2
307,88,0.23762574368520117,1.6655586486798661,-0.05373554332846829,0.9476826943765432,0.53010307186314,1.6942035179389667,0.8561404719465697,2.9113822099261764e-08,0.26363265701058647,Trastuzumab-based,MDSC_proxy,HER2
307,88,0.32557287765966997,1.7455123096322491,0.048973973602485815,1.050193017643395,0.5999709198511689,1.8382647188642591,0.8638681537895652,9.134389684270766e-09,0.0974166039767631,Trastuzumab-based,NK_cell,HER2
307,88,0.42793728956737903,1.7138266943987537,-0.05042803325383572,0.9508223538011138,0.5330403962126885,1.6960499709053196,0.8643945630743968,1.669622607607829e-08,0.05414720831373181,Trastuzumab-based,CD4_T_cell,HER2
307,88,-0.08246412794706093,1.6014801264977454,-0.05623234089253335,0.9453194740028459,0.49096487026627933,1.8201483691579592,0.866405441237265,1.9428571540465487e-07,0.6761206933065248,Trastuzumab-based,CXCL1_MDSC_axis,HER2
307,88,0.4382566581216161,1.7679814515335317,-0.028968595767082952,0.9714469715345374,0.5438197780649802,1.7353344923598237,0.9220406058135946,1.0225851479956741e-08,0.040702883175120094,Trastuzumab-based,CD8_T_cell,HER2
307,88,0.4330101217744779,1.7093326777791487,0.0046184868882032035,1.0046291685367919,0.5634650223692331,1.7912021619925051,0.9875106283056955,2.353297905807423e-08,0.039965417943257794,Trastuzumab-based,checkpoint_score,HER2
