sig,n,n_pcr,beta_sig,beta_arm,beta_interaction,or_interaction,p_interaction,p_sig,p_arm,q_interaction
sig__CAF_proxy,248,62,0.42547507333148765,1.384955649744531,-0.8716901531891323,0.41824405500583073,0.009864108613594156,0.08072604921311252,4.799643412194834e-05,0.2268744981126656
sig__IFN_gamma,248,62,0.44281727807292326,1.0380872202410323,1.0629943928020789,2.8950268708694677,0.0347754289685765,0.05111395988212231,0.009996409889270405,0.31719077134800056
sig__HLA_I_score,248,62,0.1982285634900977,1.0931157749605351,0.8618653209404673,2.3675728606077953,0.04137270930626094,0.34016935300981666,0.0030531922646333653,0.31719077134800056
sig__checkpoint_score,248,62,0.4295675858144607,1.4158108105082405,0.7874338171757358,2.197749356996871,0.070290878166443,0.0431840573387223,0.00010059323737932063,0.3704068559551591
sig__B_cell,248,62,0.20238038483630963,1.3823766306487129,0.632393974501807,1.8821109158115685,0.08403873118028421,0.3180920597340041,6.70620056129061e-05,0.3704068559551591
sig__NK_cell,248,62,0.32140727648260414,1.2723653938771367,0.5746586707851136,1.776524043857617,0.13347355073345102,0.11672063745705218,0.0003170096238859874,0.3704068559551591
sig__TLS_signature,248,62,0.4496120862656645,1.3736680140687623,0.6111364880220745,1.8425242160274111,0.13726093031363257,0.04986996880118297,0.00016138329592760523,0.3704068559551591
sig__TGFb_activity,248,62,0.2950077745885619,1.3747722661794561,-0.4887997375715557,0.6133621480885837,0.138932238603602,0.18841409765179606,5.931688116488017e-05,0.3704068559551591
sig__cytolytic_score,248,62,0.42537583964758474,1.3411193970500024,0.5914526734430114,1.8066109258248497,0.14494181319984487,0.047035956690727236,0.00019672359104243921,0.3704068559551591
sig__IL6_STAT3_axis,248,62,0.2728649766008351,1.5481141512720553,0.5155651764564193,1.6745846702261764,0.18009535020091816,0.1697480761794784,9.493069104952336e-06,0.3919687154025192
sig__CD8_T_cell,248,62,0.4313541578660945,1.3883855994841527,0.503659636383895,1.6547660451410826,0.20183276358937996,0.04521557378078807,9.925044955925431e-05,0.3919687154025192
sig__M2_polarization,248,62,0.3979023653216667,1.5364591819736395,0.4930869706284236,1.6373629176788411,0.2090078729643482,0.061371521707439876,1.375554431670353e-05,0.3919687154025192
sig__immune_exclusion,248,62,0.49630536538051784,1.3949314487984703,-0.4116488172973096,0.6625569137282167,0.22154753479272826,0.03868202931671824,7.610504662777886e-05,0.3919687154025192
sig__CD4_T_cell,248,62,0.44698772432734313,1.3981004892010565,0.32876795506027534,1.389255448485783,0.38191078253627586,0.04658402310151152,6.59513526333436e-05,0.6274248570238817
sig__APM_score,248,62,0.18916591926596146,1.425751563787198,0.2882828541734911,1.3341346163029268,0.4227150611768946,0.3373645119179257,2.1883294345872878e-05,0.6481630938045717
sig__MDSC_proxy,248,62,0.20244617125864423,1.4406838667239377,-0.24174666373215228,0.7852550859481928,0.48358422842360693,0.3683714165472556,3.286175110760302e-05,0.6951523283589349
sig__angiogenesis,248,62,-0.13630983572692817,1.409349425138419,0.21035674793291523,1.2341182505683925,0.5203728791487725,0.5165001219564418,2.1338053002481718e-05,0.696062437745883
sig__hypoxia_score,248,62,-0.29408025612337874,1.4376856634489372,0.19944052637362955,1.2207196066502488,0.5447445164967779,0.19793838314726753,2.7022966806805857e-05,0.696062437745883
sig__Treg,248,62,0.5461146148982533,1.5727628323913128,0.1719559466095226,1.187625513131005,0.6383176242857713,0.010293326855093729,8.723211356036852e-06,0.7400139423450123
sig__CXCL1_MDSC_axis,248,62,-0.11181280824350201,1.382719871625794,0.17315259590481627,1.189047535025424,0.6434903846478368,0.5932253679183366,6.709485315973629e-05,0.7400139423450123
sig__M2_macrophage,248,62,0.48901219419433245,1.4288887415852625,0.15767816599444928,1.1707893342465698,0.679557002695232,0.020671033191024597,4.201138340981726e-05,0.7406959293025264
sig__Dendritic,248,62,0.5276856831970616,1.3597032874510002,0.1399561312865015,1.1502233389323144,0.708491758463286,0.013286220864988842,9.255006690915374e-05,0.7406959293025264
sig__HLA_II_score,248,62,0.604931898288922,1.5618348531066975,0.08275081413642442,1.0862710914202054,0.8269535918751296,0.014946869535775838,1.1698570304984793e-05,0.8269535918751296
