tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi,class_name
low,56,64,0.125,0.375,0.25,3.9925925925925925,1.5953943183993309,9.991759044509287,anti-HER2
med,50,69,0.16,0.4927536231884058,0.33275362318840584,4.859154929577465,2.0299089305793823,11.631746761613464,anti-HER2
high,73,47,0.2191780821917808,0.6170212765957447,0.3978431944039639,5.556920556920557,2.5007741007901036,12.34792301558551,anti-HER2
low,62,21,0.0967741935483871,0.14285714285714285,0.046082949308755755,1.6444906444906446,0.40490988342104633,6.678892243796214,PARPi+platinum
med,60,23,0.2,0.34782608695652173,0.14782608695652172,2.127741935483871,0.7503523736674551,6.033546241599652,PARPi+platinum
high,57,27,0.22807017543859648,0.5925925925925926,0.3645224171539961,4.729468599033816,1.7957610261109902,12.455929772397456,PARPi+platinum
low,58,40,0.1724137931034483,0.275,0.10258620689655173,1.8006456820016141,0.6938818600354206,4.672733297777156,anti-Angiopoietin
med,61,37,0.19672131147540983,0.1891891891891892,-0.007532122286220633,0.9737704918032786,0.35413912580157325,2.67756060153065,anti-Angiopoietin
high,60,38,0.15,0.39473684210526316,0.24473684210526317,3.57558790593505,1.3917716179360735,9.186010627252374,anti-Angiopoietin
low,61,34,0.2459016393442623,0.11764705882352941,-0.12825458052073288,0.4426229508196721,0.1409099287886913,1.3903567922889832,anti-IGF-1R
med,55,39,0.2,0.20512820512820512,0.00512820512820511,1.0441683919944789,0.385228151146633,2.830238723715,anti-IGF-1R
high,63,32,0.07936507936507936,0.375,0.29563492063492064,6.4855875831485585,2.1119067923417516,19.916999391838736,anti-IGF-1R
low,61,37,0.21311475409836064,0.24324324324324326,0.030128489144882614,1.1975308641975309,0.4630263202887857,3.097189312718251,pan-HER TKI
med,54,43,0.16666666666666666,0.4883720930232558,0.32170542635658916,4.576608187134503,1.8320050339691665,11.433015799725737,pan-HER TKI
high,64,34,0.140625,0.35294117647058826,0.21231617647058826,3.2456140350877196,1.2235696466840487,8.60924467463395,pan-HER TKI
low,55,25,0.21818181818181817,0.24,0.02181818181818182,1.16,0.39080681407161943,3.4431334141308105,AKT inhibitor
med,61,18,0.2459016393442623,0.4444444444444444,0.19854280510018213,2.428571428571429,0.8317070549162384,7.091390110027932,AKT inhibitor
high,63,17,0.06349206349206349,0.23529411764705882,0.17180205415499533,4.407407407407407,1.0504666770344557,18.49200977008481,AKT inhibitor
