variable,test,statistic,p_value,note,class_name
HR,chi2,0.8486384658242807,0.35693779470629705,,PARPi+platinum
MP,chi2,0.7802042170483297,0.37707869023664475,,PARPi+platinum
HER2,—,,,constant,PARPi+platinum
HR,chi2,0.013189581009648402,0.9085672658787614,,anti-Angiopoietin
MP,chi2,0.062365050407529335,0.8027961912903242,,anti-Angiopoietin
HER2,—,,,constant,anti-Angiopoietin
HR,chi2,0.10310077716722785,0.748139841096872,,anti-IGF-1R
MP,chi2,0.749970304872964,0.38648563258650614,,anti-IGF-1R
HER2,—,,,constant,anti-IGF-1R
HR,chi2,4.202557520993275,0.04036306177950126,,pan-HER TKI
MP,chi2,4.4037910555013795,0.03585913276289662,,pan-HER TKI
HER2,—,,,constant,pan-HER TKI
HR,chi2,0.40311581963690685,0.5254844891785666,,AKT inhibitor
MP,chi2,2.3376888349831737,0.1262767802290879,,AKT inhibitor
HER2,—,,,constant,AKT inhibitor
